nct_id,overallStatus,study_type,why_stopped
NCT00003453,TERMINATED,INTERVENTIONAL,Slow enrollment
NCT00003454,TERMINATED,INTERVENTIONAL,slow accrual
NCT00003469,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00003471,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00003472,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00003476,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00003479,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00003483,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00003485,TERMINATED,INTERVENTIONAL,slow accrual
NCT00003487,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00003489,TERMINATED,INTERVENTIONAL,slow accrual
NCT00003491,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00003492,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00003494,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00003495,TERMINATED,INTERVENTIONAL,slow accrual
NCT00003496,TERMINATED,INTERVENTIONAL,slow accrual
NCT00003497,TERMINATED,INTERVENTIONAL,slow accrual
NCT00003498,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00003500,TERMINATED,INTERVENTIONAL,slow accrual
NCT00003501,TERMINATED,INTERVENTIONAL,slow accrual
NCT00003508,TERMINATED,INTERVENTIONAL,Withdrawn due to slow enrollment
NCT00003509,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00003511,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00003512,WITHDRAWN,INTERVENTIONAL,No participants enrolled
NCT00003513,TERMINATED,INTERVENTIONAL,slow accrual
NCT00003515,TERMINATED,INTERVENTIONAL,slow accrual
NCT00003516,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00003520,TERMINATED,INTERVENTIONAL,slow accrual
NCT00003521,TERMINATED,INTERVENTIONAL,slow accrual
NCT00003522,TERMINATED,INTERVENTIONAL,slow accrual
NCT00003524,TERMINATED,INTERVENTIONAL,slow accrual
NCT00003525,TERMINATED,INTERVENTIONAL,slow accrual
NCT00003526,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00003530,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00003531,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00003532,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00003533,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00003534,WITHDRAWN,INTERVENTIONAL,No participants enrolled.
NCT00003535,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00003564,WITHDRAWN,INTERVENTIONAL,Study withdrawn.
NCT00003567,TERMINATED,INTERVENTIONAL,slow accrual
NCT00003599,WITHDRAWN,INTERVENTIONAL,Withdrawn study.
NCT00003605,WITHDRAWN,INTERVENTIONAL,no patient accrual
NCT00003622,WITHDRAWN,INTERVENTIONAL,No recruitment
NCT00003640,TERMINATED,INTERVENTIONAL,low accrual
NCT00003642,TERMINATED,INTERVENTIONAL,low accrual
NCT00003645,TERMINATED,INTERVENTIONAL,Per PI request
NCT00003663,WITHDRAWN,INTERVENTIONAL,no patient accrual
NCT00003682,TERMINATED,INTERVENTIONAL,lack of inclusions
NCT00003686,TERMINATED,INTERVENTIONAL,Terminated due to poor accrual.
NCT00003714,WITHDRAWN,INTERVENTIONAL,Withdrawn
NCT00003715,TERMINATED,INTERVENTIONAL,Terminated: recruiting or enrolling participants has halted prematurely and will not resume; participants are no longer being examined or treated
NCT00003726,TERMINATED,INTERVENTIONAL,Study funding was dropped.
NCT00003729,TERMINATED,INTERVENTIONAL,low accrual
NCT00003777,TERMINATED,INTERVENTIONAL,PI left institution
NCT00003786,WITHDRAWN,INTERVENTIONAL,NO participants
NCT00003803,TERMINATED,INTERVENTIONAL,low accrual
NCT00003824,TERMINATED,INTERVENTIONAL,Permanently Closed Due to Poor Accrual
NCT00003843,TERMINATED,OBSERVATIONAL,Study terminated due to poor accrual
NCT00003851,TERMINATED,INTERVENTIONAL,Approval lapse
NCT00003852,TERMINATED,INTERVENTIONAL,lack of patient inclusion
NCT00003858,WITHDRAWN,INTERVENTIONAL,The study was not activated.
NCT00003911,TERMINATED,INTERVENTIONAL,Poor accrual
NCT00003926,TERMINATED,INTERVENTIONAL,Withdrawn due to slow accrual
NCT00004039,WITHDRAWN,INTERVENTIONAL,No patient accruals
NCT00004040,WITHDRAWN,INTERVENTIONAL,no patient accruals
NCT00004050,TERMINATED,INTERVENTIONAL,Development in prostate cancer indication halted
NCT00004058,TERMINATED,INTERVENTIONAL,At this time it is felt that we will not gain further information from an additional patients.
NCT00004093,TERMINATED,INTERVENTIONAL,Original Principal Investigator left the institution.
NCT00004099,TERMINATED,INTERVENTIONAL,low accrual
NCT00004106,TERMINATED,INTERVENTIONAL,Per Data Monitoring Committee given the poor/inadequate accrual.
NCT00004114,WITHDRAWN,INTERVENTIONAL,Study never opened
NCT00004239,TERMINATED,INTERVENTIONAL,poor accrual
NCT00004261,TERMINATED,INTERVENTIONAL,Lack of patient accrual
NCT00004418,TERMINATED,INTERVENTIONAL,"No funding, move to expanded access"
NCT00004465,TERMINATED,INTERVENTIONAL,Lack of efficacy at review by DSMB using pre-specified monitoring criteria
NCT00004466,TERMINATED,INTERVENTIONAL,Very poor enrollment
NCT00004468,WITHDRAWN,INTERVENTIONAL,Lack of funds
NCT00004500,TERMINATED,INTERVENTIONAL,Slow enrollment and administrative reasons
NCT00004859,TERMINATED,INTERVENTIONAL,Trial was stopped early for futility
NCT00004874,TERMINATED,INTERVENTIONAL,lack of FDA approval
NCT00004878,WITHDRAWN,INTERVENTIONAL,study never opened
NCT00004897,TERMINATED,INTERVENTIONAL,Institutional Review Board requested termination - all patients deceased and no new accrual.
NCT00004933,TERMINATED,INTERVENTIONAL,Poor accrual
NCT00004935,TERMINATED,INTERVENTIONAL,Trial is Life long follow-up: to reduce ressources and costs - trial terminated prematurely.
NCT00005009,TERMINATED,INTERVENTIONAL,Slow enrollment
NCT00005030,WITHDRAWN,INTERVENTIONAL,No enrollment.
NCT00005039,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00005047,TERMINATED,INTERVENTIONAL,Accrual was halted on the basis of the Data and Safety Monitoring Board review of a futility analysis.
NCT00005067,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00005072,TERMINATED,INTERVENTIONAL,Development in prostate cancer indication halted
NCT00005075,TERMINATED,INTERVENTIONAL,Withdrawn because Ablatherm devices were not available anymore at trial centers
NCT00005083,WITHDRAWN,INTERVENTIONAL,no participants enrolled
NCT00005090,TERMINATED,INTERVENTIONAL,poor accrual
NCT00005097,TERMINATED,INTERVENTIONAL,terminated due to the low conditional power for a positive study
NCT00005113,TERMINATED,INTERVENTIONAL,Inability to meet the accrual target of 213.
NCT00005286,TERMINATED,OBSERVATIONAL,Not a clinical Trial and inadvertently entered in the system.
NCT00005290,TERMINATED,OBSERVATIONAL,Not a clinical trial \& was inadvertently entered into the system.
NCT00005295,TERMINATED,OBSERVATIONAL,Not a clinical Trial \& inadvertently entered in the system.
NCT00005341,TERMINATED,OBSERVATIONAL,Not a clinical trial and was inadvertently entered in the system.
NCT00005427,TERMINATED,OBSERVATIONAL,Not a clinical trial.
NCT00005595,TERMINATED,INTERVENTIONAL,Unable to accrue subjects in a timely fashion.
NCT00005608,TERMINATED,INTERVENTIONAL,Drug was pulled from the market.
NCT00005612,TERMINATED,INTERVENTIONAL,Low accrual
NCT00005614,WITHDRAWN,INTERVENTIONAL,no accrual
NCT00005641,TERMINATED,INTERVENTIONAL,low study accrual
NCT00005712,TERMINATED,OBSERVATIONAL,Not a clinical trial and was inadvertently entered in the system.
NCT00005773,TERMINATED,INTERVENTIONAL,Halted after 3 years because of a persistent decline in enrollment
NCT00005774,TERMINATED,INTERVENTIONAL,The trial was stopped after 7 months for lack of recruitment.
NCT00005776,TERMINATED,INTERVENTIONAL,Results showed statistically significant benefit in the experimental group
NCT00005777,TERMINATED,INTERVENTIONAL,The trial was halted because of unanticipated nonrespiratory adverse events related to dexamethasone therapy.
NCT00005786,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00005787,TERMINATED,INTERVENTIONAL,Per PI due to poor/inadequate accrual.
NCT00005788,TERMINATED,INTERVENTIONAL,Low/inadequate rate of accrual.
NCT00005790,WITHDRAWN,INTERVENTIONAL,Unable to accrue subjects.
NCT00005808,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00005812,TERMINATED,INTERVENTIONAL,"No objective response documented, protocol terminated after 12 patients."
NCT00005834,TERMINATED,INTERVENTIONAL,poor accrual
NCT00005841,TERMINATED,INTERVENTIONAL,Toxicity/Side Effects
NCT00005852,TERMINATED,INTERVENTIONAL,low accrual
NCT00005856,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00005944,TERMINATED,INTERVENTIONAL,insuffisient recruitment
NCT00005950,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00005969,WITHDRAWN,INTERVENTIONAL,Study withdrawn.
NCT00005982,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00005983,TERMINATED,INTERVENTIONAL,due to lack of accrual
NCT00005984,TERMINATED,INTERVENTIONAL,Study terminated as principal investigator \[PI\] left the university.
NCT00005986,TERMINATED,INTERVENTIONAL,Principal investigator left the university.
NCT00005987,TERMINATED,INTERVENTIONAL,Withdrawn because treatment guidelines changed
NCT00005997,TERMINATED,INTERVENTIONAL,slow accrual for Cohort II
NCT00005998,WITHDRAWN,INTERVENTIONAL,Withdrawn because study never enrolled patients
NCT00006001,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00006003,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00006015,TERMINATED,INTERVENTIONAL,lack of sufficient accrual
NCT00006032,TERMINATED,INTERVENTIONAL,low accrual
NCT00006037,TERMINATED,INTERVENTIONAL,Drug not available
NCT00006046,TERMINATED,INTERVENTIONAL,poor recruitment
NCT00006090,WITHDRAWN,INTERVENTIONAL,No enrollment.
NCT00006091,WITHDRAWN,INTERVENTIONAL,No enrollment.
NCT00006092,TERMINATED,INTERVENTIONAL,low accrual
NCT00006099,TERMINATED,INTERVENTIONAL,low study accrual
NCT00006113,TERMINATED,INTERVENTIONAL,Lack of efficacy
NCT00006121,TERMINATED,INTERVENTIONAL,low accrual
NCT00006123,WITHDRAWN,INTERVENTIONAL,Never started
NCT00006126,WITHDRAWN,INTERVENTIONAL,Unable to accrue subjects.
NCT00006220,TERMINATED,INTERVENTIONAL,Study drug became commercially available.
NCT00006222,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00006247,TERMINATED,INTERVENTIONAL,The pharmaceutical company discontinued further development of SU5416.
NCT00006262,TERMINATED,INTERVENTIONAL,Unable to accrue patients to the study.
NCT00006267,WITHDRAWN,INTERVENTIONAL,Never activated.
NCT00006289,TERMINATED,INTERVENTIONAL,difficulty in the recruitment of patients
NCT00006321,TERMINATED,OBSERVATIONAL,PI left the university
NCT00006344,WITHDRAWN,INTERVENTIONAL,PI left institution
NCT00006356,TERMINATED,INTERVENTIONAL,low accrual
NCT00006371,TERMINATED,INTERVENTIONAL,low accrual
NCT00006374,WITHDRAWN,INTERVENTIONAL,Slow accrual
NCT00006451,WITHDRAWN,INTERVENTIONAL,Terminated (due to no accrual)
NCT00006478,TERMINATED,INTERVENTIONAL,"Genitope suspend drug development by decision made by the FDA March 6, 2008."
NCT00006497,WITHDRAWN,OBSERVATIONAL,Nonapplicable clinical trial
NCT00006708,TERMINATED,INTERVENTIONAL,lack of accrual
NCT00006773,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00006916,TERMINATED,INTERVENTIONAL,Low accrual
NCT00006994,TERMINATED,INTERVENTIONAL,Withdrawn due to drug availability and funding
NCT00008216,TERMINATED,OBSERVATIONAL,Poor enrollment
NCT00009919,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00010101,TERMINATED,OBSERVATIONAL,Poor accrual
NCT00010153,TERMINATED,INTERVENTIONAL,low accrual
NCT00010205,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00010322,TERMINATED,INTERVENTIONAL,Withdrawn due to change in standard of care - new protocol required
NCT00011492,TERMINATED,OBSERVATIONAL,Closed by Sponsor/Data Safety monitoring Board/IRB
NCT00012246,TERMINATED,INTERVENTIONAL,Administratively Terminated
NCT00012298,TERMINATED,INTERVENTIONAL,Trial completed prematurely.
NCT00012675,WITHDRAWN,OBSERVATIONAL,This study was withdrawn prior to enrollment.
NCT00014131,TERMINATED,INTERVENTIONAL,change in corporate priorities
NCT00014196,TERMINATED,INTERVENTIONAL,This study was closed early due to poor accrual.
NCT00014313,TERMINATED,INTERVENTIONAL,low accrual
NCT00014326,TERMINATED,INTERVENTIONAL,low accrual
NCT00014443,TERMINATED,INTERVENTIONAL,Poor enrollment
NCT00014560,TERMINATED,INTERVENTIONAL,Medarex (supplier of BsAb) stopped study due to toxicities experienced at other sites on unrelated trials halting manufacturing of BsAb
NCT00014586,TERMINATED,INTERVENTIONAL,low accrual
NCT00014651,TERMINATED,INTERVENTIONAL,Teminated by the DSMB because there are no differences between the control group and the Vapreotide group
NCT00014872,TERMINATED,OBSERVATIONAL,This is not a clinical trial and was inadvertently entered into CT.gov
NCT00015002,TERMINATED,INTERVENTIONAL,Concerns regarding neonatal data
NCT00015912,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00016276,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00016523,TERMINATED,INTERVENTIONAL,Preliminary results showed increased intraventricular hemorrhage (IVH) in experimental arm
NCT00017134,TERMINATED,INTERVENTIONAL,Withdrawn due to poor accrual
NCT00017173,TERMINATED,INTERVENTIONAL,Terminated for poor accrual.
NCT00017277,TERMINATED,INTERVENTIONAL,low accrual
NCT00019604,TERMINATED,INTERVENTIONAL,Principal investigator left the institution.
NCT00019747,TERMINATED,INTERVENTIONAL,DSMB recommended closure of the protocol due to slow accrual.
NCT00020670,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00020683,TERMINATED,INTERVENTIONAL,Cancer Therapy Evaluation Program's (CTEP's) termination of drug supply
NCT00020722,TERMINATED,INTERVENTIONAL,Lack of funding to continue study.
NCT00020839,TERMINATED,INTERVENTIONAL,low accrual
NCT00021112,TERMINATED,INTERVENTIONAL,low accrual
NCT00021229,TERMINATED,INTERVENTIONAL,Poor accrual
NCT00021307,WITHDRAWN,INTERVENTIONAL,Study not activated.
NCT00022230,WITHDRAWN,INTERVENTIONAL,PI left Institution
NCT00022633,TERMINATED,INTERVENTIONAL,Permanently Closed Due to Poor Accrual
NCT00022802,TERMINATED,INTERVENTIONAL,Grant expired
NCT00022841,TERMINATED,INTERVENTIONAL,Inadequate eligible subjects to expect sufficient numbers to analyse outcomes.
NCT00023244,TERMINATED,INTERVENTIONAL,"Effective August 13, 2004: Unanticipated high incidence of post-transplant lymphoproliferative disorder"
NCT00023504,TERMINATED,INTERVENTIONAL,Slow/Insufficient accrual
NCT00023634,TERMINATED,INTERVENTIONAL,lack of accrual
NCT00023790,TERMINATED,INTERVENTIONAL,slow accrual
NCT00023868,TERMINATED,INTERVENTIONAL,redesign
NCT00023881,TERMINATED,INTERVENTIONAL,Lack of efficacy
NCT00023920,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00024128,WITHDRAWN,INTERVENTIONAL,Withdrawn prior to initiation.
NCT00024167,TERMINATED,INTERVENTIONAL,Terminated due to slow accrual
NCT00024674,WITHDRAWN,INTERVENTIONAL,Support withdrawn - Study continued by NCI - see record NCT00006981
NCT00024687,WITHDRAWN,INTERVENTIONAL,Support withdrawn - Study continued by NCI - see record NCT00006981
NCT00025298,TERMINATED,INTERVENTIONAL,low accrual
NCT00025493,TERMINATED,INTERVENTIONAL,poor accrual
NCT00026468,WITHDRAWN,INTERVENTIONAL,Principle Investigator has left the University.
NCT00027131,TERMINATED,INTERVENTIONAL,difficulty with accrual
NCT00027508,TERMINATED,INTERVENTIONAL,Enrolment halted prematurely and not resumed. 2 patients enrolled. No data was obtained.
NCT00027521,WITHDRAWN,INTERVENTIONAL,Program terminated
NCT00027911,TERMINATED,INTERVENTIONAL,Departure of PI
NCT00028561,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00028704,TERMINATED,INTERVENTIONAL,low accrual
NCT00028782,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00029146,TERMINATED,INTERVENTIONAL,Pre-specified futility boundary was reached.
NCT00030381,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00030511,TERMINATED,INTERVENTIONAL,low accrual
NCT00030693,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00031174,TERMINATED,OBSERVATIONAL,Due to technical and logistical constraints and a change in the study team's focus of research
NCT00031551,TERMINATED,INTERVENTIONAL,It was not feasible to recruit required sample size from two clinical sites.
NCT00031577,TERMINATED,INTERVENTIONAL,Administrative closure 9/22/2006. Decline in enrollment at CHOP. due to competing protocols with new agents.
NCT00031590,TERMINATED,INTERVENTIONAL,The study was terminated prematurely due to slow accrual.
NCT00031798,TERMINATED,INTERVENTIONAL,low accrual; loss of funding
NCT00032084,TERMINATED,INTERVENTIONAL,This study was closed early due to poor accrual
NCT00032643,TERMINATED,INTERVENTIONAL,Funding support withdrawn (much slower than expected enrollment)
NCT00033449,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00033774,TERMINATED,OBSERVATIONAL,There is another active NHLBI protocol for the collection of stem cells for research from healthy volunteers and no need for this separate Protocol.
NCT00034138,TERMINATED,INTERVENTIONAL,closed by sponser
NCT00034372,TERMINATED,INTERVENTIONAL,closed by sponser
NCT00034528,TERMINATED,INTERVENTIONAL,Due to slow recruitment
NCT00034697,TERMINATED,INTERVENTIONAL,Slow Enrollment
NCT00034788,TERMINATED,INTERVENTIONAL,Slow recruitment; Study did not address safety concern raised by European Medicines Agency
NCT00035919,WITHDRAWN,INTERVENTIONAL,"Never received final IRB approval for amendments, so never opened officially"
NCT00035958,TERMINATED,INTERVENTIONAL,Incorporating the recommendations of the NIH-formed DSMB in the study procedures would make the project budget over the limit for this funding mechanism.
NCT00036686,TERMINATED,INTERVENTIONAL,low accrual
NCT00036816,TERMINATED,INTERVENTIONAL,low accrual
NCT00036855,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00037115,WITHDRAWN,INTERVENTIONAL,Lack of funding
NCT00037622,TERMINATED,INTERVENTIONAL,Safety concerns from other studies.
NCT00038038,WITHDRAWN,INTERVENTIONAL,"No participants enrolled, study terminated."
NCT00038142,TERMINATED,INTERVENTIONAL,Low Accrual
NCT00038389,TERMINATED,INTERVENTIONAL,Unavailability of study drug.
NCT00038415,TERMINATED,INTERVENTIONAL,Vaccine unavailable.
NCT00038649,TERMINATED,INTERVENTIONAL,Sponsor discontinued providing study drug.
NCT00038701,TERMINATED,INTERVENTIONAL,Slow accrual.
NCT00038766,TERMINATED,INTERVENTIONAL,Unable to enroll into study.
NCT00038779,TERMINATED,INTERVENTIONAL,Lack of Accrual
NCT00038792,TERMINATED,INTERVENTIONAL,Slow accrual.
NCT00038818,TERMINATED,INTERVENTIONAL,Low accrual.
NCT00038870,WITHDRAWN,INTERVENTIONAL,Slow accrual.
NCT00039078,WITHDRAWN,INTERVENTIONAL,Record created in error - not a research study
NCT00039455,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00039754,TERMINATED,INTERVENTIONAL,business reasons
NCT00040144,TERMINATED,INTERVENTIONAL,Safety concerns
NCT00040157,TERMINATED,INTERVENTIONAL,Safety concerns
NCT00040404,TERMINATED,INTERVENTIONAL,Unlikely to provide evidence of significant effect
NCT00040417,TERMINATED,INTERVENTIONAL,unable to accrue patients
NCT00040456,TERMINATED,INTERVENTIONAL,Lack of accrual
NCT00040469,TERMINATED,INTERVENTIONAL,accrual was slow and sporadic so the study was closed
NCT00040768,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00041171,WITHDRAWN,INTERVENTIONAL,The study was not activated.
NCT00041288,TERMINATED,INTERVENTIONAL,Poor accrual and difficulty with multicenter logistics
NCT00041353,WITHDRAWN,INTERVENTIONAL,Study was not activated at Fox Chase Cancer Center
NCT00041470,TERMINATED,INTERVENTIONAL,Sponsor withdrew the study
NCT00041548,TERMINATED,INTERVENTIONAL,slow enrollment
NCT00041561,TERMINATED,INTERVENTIONAL,Study stopped due to poor enrollment
NCT00041574,TERMINATED,INTERVENTIONAL,Closed for lack of enrollment
NCT00042796,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00042835,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00042887,TERMINATED,INTERVENTIONAL,low accrual
NCT00042952,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00043004,TERMINATED,INTERVENTIONAL,low accrual
NCT00043212,WITHDRAWN,INTERVENTIONAL,Redirection of company goals
NCT00043355,TERMINATED,INTERVENTIONAL,Futility
NCT00044083,TERMINATED,INTERVENTIONAL,Scientific Director request to use resources for other studies
NCT00045617,TERMINATED,INTERVENTIONAL,Closed due to lack of drug availability.
NCT00045721,TERMINATED,INTERVENTIONAL,Poor accrual
NCT00045838,WITHDRAWN,INTERVENTIONAL,The study product was revised. PI withdrew the study without enrolling participants..
NCT00046163,TERMINATED,INTERVENTIONAL,Study was terminated due to poor enrollment
NCT00046709,TERMINATED,INTERVENTIONAL,Discontinued due to non-enrollment.
NCT00046813,TERMINATED,INTERVENTIONAL,Interim data analysis showed no effect between treatment groups
NCT00047333,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00047554,TERMINATED,OBSERVATIONAL,Study objectives met
NCT00047606,TERMINATED,INTERVENTIONAL,Management Decision
NCT00047632,TERMINATED,INTERVENTIONAL,futility
NCT00047827,TERMINATED,INTERVENTIONAL,Inadequate enrollment
NCT00048087,WITHDRAWN,INTERVENTIONAL,Slow accrual.
NCT00048100,TERMINATED,INTERVENTIONAL,Slow accrual.
NCT00048399,TERMINATED,INTERVENTIONAL,accrual was slow
NCT00048750,TERMINATED,INTERVENTIONAL,Inadequate enrollment
NCT00048893,TERMINATED,INTERVENTIONAL,The study was closed to accrual due to very poor enrollment.
NCT00049088,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00049608,TERMINATED,INTERVENTIONAL,Principal investigator \[PI\] has left institution.
NCT00049660,TERMINATED,INTERVENTIONAL,low accrual
NCT00050375,TERMINATED,INTERVENTIONAL,Study closed by sponser
NCT00052039,TERMINATED,INTERVENTIONAL,Study design changes were needed based on GIPF-001 results
NCT00052377,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00052403,WITHDRAWN,INTERVENTIONAL,Study was not successful at recruiting particpants
NCT00052585,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00052715,TERMINATED,INTERVENTIONAL,prematurely discontinued after results of the EORTC phase-3 study defined the SOC for newly diagnosed GMB pts as RT plus concomitant and adjuvant TMZ
NCT00052884,TERMINATED,INTERVENTIONAL,Slow accrual and changes in clinical practice
NCT00053014,TERMINATED,INTERVENTIONAL,Poor accrual
NCT00053040,WITHDRAWN,INTERVENTIONAL,Withdrawal of pharmaceutical company support for the investigational drug
NCT00053339,WITHDRAWN,INTERVENTIONAL,The study was not activated.
NCT00053508,TERMINATED,INTERVENTIONAL,"CDC's decision to down-select vaccine development to single candidate, ACAM2000"
NCT00053833,TERMINATED,INTERVENTIONAL,lack of accrual
NCT00053950,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00054392,WITHDRAWN,INTERVENTIONAL,Not opened at Fox Chase Cancer Center
NCT00054405,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00054704,TERMINATED,INTERVENTIONAL,Placebo was better than active drug.
