overallstatus,study_type,lemmatize_text,nct_id,raw_text,trial_no_longer_needed,inadequate_study_design_or_study_redesign,efficacy,logistics,business_or_sponsor_reason,negligence_or_recommandation_of_legalities,organizational_issues,safety_ethics_aes,category,others,enrollment_related,pi_related,slow_accrual,funding_related,added_by_error,study_competition,covid-19_and_similar_epidemic_related,completed_early_or_truncated_completion
TERMINATED,INTERVENTIONAL,patient accrual data analysis complete,NCT00002778,subject accrual and data analysis is completed.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
TERMINATED,INTERVENTIONAL,administratively complete,NCT00002796,Administratively complete.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
TERMINATED,INTERVENTIONAL,permanently close due lack accrual,NCT00002921,Permanently Closed Due to Lack of Accrual,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,study terminate accrual goal low or intermediate grade stratum reach high grade stratum close due low accrual,NCT00002934,This study was terminated when the accrual goal for the low/intermediate grade stratum was reached. The high grade stratum was closed due to slow accrual.,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,interim analysis indicate study terminate,NCT00003056,Interim analysis indicated study should be terminated,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,lack patient accrual,NCT00003060,lack of patient accrual,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,no patient enrollment three year period,NCT00003086,no participants enrolled in a three year period,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,study halt prematurely prior enrollment first patient,NCT00003094,"Study was halted prematurely, prior to enrollment of first participant",0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,study enrollment not meet expect goal,NCT00003194,Study enrollment did not meet expected goals,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,close due low accrual,NCT00003223,Closed due to poor accrual.,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,lack accrual,NCT00003292,lack of accrual,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,study complete,NCT00003365,Study completed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
TERMINATED,OBSERVATIONAL,companion study calgb close administratively due low accrual,NCT00003381,companion study to CALGB-9781 which closed administratively due to poor accrual,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,investigator deceased,NCT00003407,The P.I deceased.,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,low enrollment,NCT00003452,slow enrollment,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,withdrawal due low enrollment,NCT00003508,Withdrawn due to slow enrollment,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,no patient enrollment,NCT00003512,No participants enrolled,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,study withdrawal,NCT00003564,Study withdrawn.,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,withdrawal study,NCT00003599,Withdrawn study.,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,no patient accrual,NCT00003605,no patient accrual,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,per investigator request,NCT00003645,Per PI request,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,lack inclusion,NCT00003682,lack of inclusions,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,withdrawal,NCT00003714,Withdrawn,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,terminate enrollment or enrolling patient halt prematurely not resume patient no longer examine or treat,NCT00003715,Terminated: recruiting or enrolling participants has halted prematurely and will not resume; participants are no longer being examined or treated,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,study fund drop,NCT00003726,Study funding was dropped.,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
WITHDRAWN,INTERVENTIONAL,no patient,NCT00003786,NO participants,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,permanently close due low accrual,NCT00003824,Permanently Closed Due to Poor Accrual,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
TERMINATED,OBSERVATIONAL,study terminate due low accrual,NCT00003843,Study terminated due to poor accrual,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,approval lapse,NCT00003851,Approval lapse,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,lack patient enrollment,NCT00003852,lack of patient inclusion,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,study not activated,NCT00003858,The study was not activated.,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,withdrawal due low accrual,NCT00003926,Withdrawn due to slow accrual,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,development prostate cancer indication halt,NCT00004050,Development in prostate cancer indication halted,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,time felt not gain information additional patient,NCT00004058,At this time it is felt that we will not gain further information from an additional patients.,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,original principal investigator leave institution,NCT00004093,Original Principal Investigator left the institution.,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,per data monitoring committee give low or low accrual,NCT00004106,Per Data Monitoring Committee given the poor/inadequate accrual.,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,study never open,NCT00004114,Study never opened,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,no fund move expand access,NCT00004418,"No funding, move to expanded access",0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
TERMINATED,INTERVENTIONAL,lack efficacy review dsmb use pre specify monitoring criterion,NCT00004465,Lack of efficacy at review by DSMB using pre-specified monitoring criteria,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,lack fund,NCT00004468,Lack of funds,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
TERMINATED,INTERVENTIONAL,low enrollment administrative reason,NCT00004500,Slow enrollment and administrative reasons,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,trial stop early futility,NCT00004859,Trial was stopped early for futility,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,lack fda approval,NCT00004874,lack of FDA approval,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,institutional review board request termination patient deceased no new accrual,NCT00004897,Institutional Review Board requested termination - all patients deceased and no new accrual.,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,trial life long follow reduce resource cost trial terminate prematurely,NCT00004935,Trial is Life long follow-up: to reduce ressources and costs - trial terminated prematurely.,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,accrual halt basis data safety monitoring board review futility analysis,NCT00005047,Accrual was halted on the basis of the Data and Safety Monitoring Board review of a futility analysis.,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,withdrawal battery device not available anymore trial center,NCT00005075,Withdrawn because Ablatherm devices were not available anymore at trial centers,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,terminate due low conditional power positive study,NCT00005097,terminated due to the low conditional power for a positive study,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,inability meet accrual target,NCT00005113,Inability to meet the accrual target of 213.,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
TERMINATED,OBSERVATIONAL,not clinical trial inadvertently enter system,NCT00005286,Not a clinical Trial and inadvertently entered in the system.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
TERMINATED,OBSERVATIONAL,not clinical trial,NCT00005427,Not a clinical trial.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
TERMINATED,INTERVENTIONAL,unable accrual patient timely fashion,NCT00005595,Unable to accrue subjects in a timely fashion.,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,drug pull market,NCT00005608,Drug was pulled from the market.,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,no accrual,NCT00005614,no accrual,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,low study accrual,NCT00005641,low study accrual,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,halt year persistent decline enrollment,NCT00005773,Halted after 3 years because of a persistent decline in enrollment,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,trial stop month lack enrollment,NCT00005774,The trial was stopped after 7 months for lack of recruitment.,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,result show statistically significant benefit experimental group,NCT00005776,Results showed statistically significant benefit in the experimental group,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,trial halt unanticipated nonrespiratory aes relate dexamethasone therapy,NCT00005777,The trial was halted because of unanticipated nonrespiratory adverse events related to dexamethasone therapy.,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,per investigator due low or low accrual,NCT00005787,Per PI due to poor/inadequate accrual.,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,low or low rate accrual,NCT00005788,Low/inadequate rate of accrual.,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,unable accrual patient,NCT00005790,Unable to accrue subjects.,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,no objective response documented protocol terminate patient,NCT00005812,"No objective response documented, protocol terminated after 12 patients.",0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,toxicity or aes,NCT00005841,Toxicity/Side Effects,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,insufficiency enrollment,NCT00005944,insuffisient recruitment,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,due lack accrual,NCT00005983,due to lack of accrual,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,study terminate principal investigator investigator leave university,NCT00005984,Study terminated as principal investigator [PI] left the university.,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,principal investigator leave university,NCT00005986,Principal investigator left the university.,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,withdrawal treatment guideline change,NCT00005987,Withdrawn because treatment guidelines changed,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,low accrual cohort ii,NCT00005997,slow accrual for Cohort II,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,withdrawal study never enrollment patient,NCT00005998,Withdrawn because study never enrolled patients,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,lack sufficient accrual,NCT00006015,lack of sufficient accrual,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,drug not available,NCT00006037,Drug not available,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,lack efficacy,NCT00006113,Lack of efficacy,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,never start,NCT00006123,Never started,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,study drug become commercially available,NCT00006220,Study drug became commercially available.,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,pharmaceutical company discontinued development su,NCT00006247,The pharmaceutical company discontinued further development of SU5416.,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,unable accrual patient study,NCT00006262,Unable to accrue patients to the study.,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,never activated,NCT00006267,Never activated.,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,difficulty enrollment patient,NCT00006289,difficulty in the recruitment of patients,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,OBSERVATIONAL,investigator leave university,NCT00006321,PI left the university,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,terminate due no accrual,NCT00006451,Terminated (due to no accrual),0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,genitope suspend drug development decision make fda march,NCT00006478,"Genitope suspend drug development by decision made by the FDA March 6, 2008.",0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
WITHDRAWN,OBSERVATIONAL,nonapplicable clinical trial,NCT00006497,Nonapplicable clinical trial,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
TERMINATED,INTERVENTIONAL,withdrawal due drug availability fund,NCT00006994,Withdrawn due to drug availability and funding,0,0,0,0,0,0,0,0,,0,0,0,1,1,0,0,0,0
TERMINATED,INTERVENTIONAL,withdrawal due change standard care new protocol require,NCT00010322,Withdrawn due to change in standard of care - new protocol required,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
TERMINATED,OBSERVATIONAL,close sponsor or data safety monitoring board or irb,NCT00011492,Closed by Sponsor/Data Safety monitoring Board/IRB,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,administratively terminate,NCT00012246,Administratively Terminated,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,trial complete prematurely,NCT00012298,Trial completed prematurely.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
WITHDRAWN,OBSERVATIONAL,study withdrawal prior enrollment,NCT00012675,This study was withdrawn prior to enrollment.,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,change corporate priority,NCT00014131,change in corporate priorities,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,study close early due low accrual,NCT00014196,This study was closed early due to poor accrual.,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,medarex supplier bsa stop study due toxicity experience other site unrelated trial halt manufacture bab,NCT00014560,Medarex (supplier of BsAb) stopped study due to toxicities experienced at other sites on unrelated trials halting manufacturing of BsAb,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,teminated dsmb no difference control group apreotide group,NCT00014651,Teminated by the DSMB because there are no differences between the control group and the Vapreotide group,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
TERMINATED,OBSERVATIONAL,not clinical trial inadvertently enter ctgov,NCT00014872,This is not a clinical trial and was inadvertently entered into CT.gov,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
TERMINATED,INTERVENTIONAL,concern regarding neonatal data,NCT00015002,Concerns regarding neonatal data,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,preliminary result show increase intraventricular hemorrhage ivh experimental arm,NCT00016523,Preliminary results showed increased intraventricular hemorrhage (IVH) in experimental arm,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,terminate low accrual,NCT00017173,Terminated for poor accrual.,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,principal investigator leave institution,NCT00019604,Principal investigator left the institution.,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,dsmb recommend closure protocol due low accrual,NCT00019747,DSMB recommended closure of the protocol due to slow accrual.,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,cancer therapy evaluation program ctep termination drug supply,NCT00020683,Cancer Therapy Evaluation Program's (CTEP's) termination of drug supply,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,lack fund continue study,NCT00020722,Lack of funding to continue study.,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
TERMINATED,INTERVENTIONAL,grant expire,NCT00022802,Grant expired,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
TERMINATED,INTERVENTIONAL,low eligible patient expect sufficient number analyse outcome,NCT00022841,Inadequate eligible subjects to expect sufficient numbers to analyse outcomes.,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,effective august unanticipated high incidence post transplant lymphoproliferative disorder,NCT00023244,"Effective August 13, 2004: Unanticipated high incidence of post-transplant lymphoproliferative disorder",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,redesign,NCT00023868,redesign,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,withdrawal prior initiation,NCT00024128,Withdrawn prior to initiation.,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,support withdrawal study continue nci see record nct,NCT00024674,Support withdrawn - Study continued by NCI - see record NCT00006981,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,principle investigator leave university,NCT00026468,Principle Investigator has left the University.,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,difficulty accrual,NCT00027131,difficulty with accrual,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,enrollment halt prematurely not resume patient enrollment no data obtain,NCT00027508,Enrolment halted prematurely and not resumed. 2 patients enrolled. No data was obtained.,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,program terminate,NCT00027521,Program terminated,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,departure investigator,NCT00027911,Departure of PI,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,pre specify futility boundary reach,NCT00029146,Pre-specified futility boundary was reached.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TERMINATED,OBSERVATIONAL,due technical logistical constraint change study team focus research,NCT00031174,Due to technical and logistical constraints and a change in the study team's focus of research,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,not feasible enrollment require sample size two clinical site,NCT00031551,It was not feasible to recruit required sample size from two clinical sites.,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,administrative closure or or decline enrollment chop due compete protocol new agent,NCT00031577,Administrative closure 9/22/2006. Decline in enrollment at CHOP. due to competing protocols with new agents.,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
TERMINATED,INTERVENTIONAL,study terminate prematurely due low accrual,NCT00031590,The study was terminated prematurely due to slow accrual.,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,low accrual loss fund,NCT00031798,low accrual; loss of funding,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
TERMINATED,INTERVENTIONAL,fund support withdrawal much slow expect enrollment,NCT00032643,Funding support withdrawn (much slower than expected enrollment),0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
TERMINATED,OBSERVATIONAL,another active nhlbi protocol collection stem cell research healthy volunteer no need separate protocol,NCT00033774,There is another active NHLBI protocol for the collection of stem cells for research from healthy volunteers and no need for this separate Protocol.,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,close sponser,NCT00034138,closed by sponser,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,due low enrollment,NCT00034528,Due to slow recruitment,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,low enrollment study not address safety concern raise european medicine agency,NCT00034788,Slow recruitment; Study did not address safety concern raised by European Medicines Agency,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,never receive final irb approval amendment never open officially,NCT00035919,"Never received final IRB approval for amendments, so never opened officially",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0
